price,accommodates,bedrooms,bathrooms,cleaning_fee,availability_90_days,district,host_respons_time,host_response_rate,host_superhost,host_listings_count,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,kitchen,tv,coffe_machine,dishwasher,terrace,bathtub
32,1,1,1,20,13,Tempelhof - Schöneberg,within an hour,100,no,1,10,10,10,10,10,10,yes,yes,yes,no,yes,no
149,4,1,1,40,65,Tempelhof - Schöneberg,within an hour,100,no,9,9,9,9,9,10,9,yes,no,yes,no,no,no
170,4,2,1,70,68,Mitte,within an hour,100,no,9,10,10,10,9,10,10,yes,yes,yes,yes,no,no
45,2,1,1,5,24,Mitte,within an hour,94,no,1,9,10,10,9,9,9,yes,yes,no,no,no,no
120,2,1,1,19,0,Mitte,within a day,100,no,2,9,9,10,10,9,9,yes,no,no,yes,yes,no
110,3,2,1,50,0,Pankow,within a few hours,100,no,1,10,10,10,10,10,10,yes,no,no,no,no,no
29,3,1,1,50,0,Friedrichshain-Kreuzberg,within an hour,100,no,4,9,7,8,10,9,9,yes,no,no,no,no,no
120,5,3,1,38,48,Tempelhof - Schöneberg,within an hour,100,yes,1,10,10,10,10,10,10,yes,yes,yes,no,no,no
111,2,1,1,30,83,Mitte,within a day,100,no,1,10,10,10,10,10,9,yes,no,no,no,no,no
40,1,1,1,20,14,Neukölln,within a few hours,100,no,2,10,9,9,10,10,10,yes,no,yes,yes,no,no
27,3,1,1,20,14,Charlottenburg-Wilm.,within an hour,100,yes,2,10,9,10,10,10,10,yes,no,yes,no,no,no
25,2,1,1,25,0,Friedrichshain-Kreuzberg,within a few hours,89,no,4,10,9,10,10,10,10,yes,no,no,no,no,no
90,6,3,1.5,70,40,Steglitz - Zehlendorf,within a few hours,100,yes,2,10,10,10,10,10,10,yes,yes,no,no,no,no
100,2,1,1,0,70,Steglitz - Zehlendorf,within an hour,100,yes,1,10,10,10,10,10,10,yes,yes,yes,yes,no,no
